Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
105,PMR04,446.043750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 4
106,PMR05,446.056250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 5
107,PMR06,446.068750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 6
108,PMR07,446.081250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 7
109,PMR08,446.093750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 8
110,PMR09,446.106250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 9
111,PMR10,446.118750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 10
112,PMR11,446.131250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 11
113,PMR12,446.143750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 12
114,PMR13,446.156250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 13
115,PMR14,446.168750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 14
116,PMR15,446.181250,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 15
117,PMR16,446.193750,off,0.000000,,88.5,88.5,023,NN,FM,12.50,S,Escuta - PMR446 canal 16
118,CB01,26.965000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 1
119,CB02,26.975000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 2
120,CB03,26.985000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 3
121,CB04,27.005000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 4
122,CB05,27.015000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 5
123,CB06,27.025000,off,0.000000,,88.5,88.5,023,NN,FM,10.00,S,Escuta - CB27 canal 6
